노선번호,﻿ISC노선ID,회사명,기점정류소명,종점정류소명,기점첫차시간,기점막차시간,운행시간,노선인가거리,면허대수,인가운행횟수,최소배차간격,최대배차간격,평균배차간격
3(강화),28032034,강화선진버스,강화터미널,강화터미널,06:05:00,2010,03:40:00,1,1,4,70,445,04:17:30
30,28043001,인천제물포교통,왕길동(기점),서창2지구,04:20:00,2230,05:02:00,80,41,147,6,9,00:07:30
30(강화),28032052,강화선진버스,강화터미널,강화터미널,05:50:00,2000,03:40:00,1,1,15,40,95,01:07:30
300,28034003,선진여객,원창동(기점),김포공항역,05:00:00,2300,02:57:00,44.8,7,42,23,23,00:23:00
302,28040002,강인교통,강인여객,인천공항13B(3층),05:00:00,2150,03:50:00,103.6,24,105,8,11,00:09:30
303,28040003,강인교통,강인여객,인천공항13A,05:00:00,2130,03:23:00,93.13,14,68,13,15,00:14:00
303-1,28319002,강인교통,강인여객,인천공항T2(8번)출입구(3층),05:00:00,2030,04:11:00,138.81,7,25,30,40,00:35:00
304,28319004,강인교통,강인여객,운서역,05:00:00,2200,03:02:00,84,5,28,15,20,00:17:30
304,28319004,미래교통,강인여객,운서역,05:00:00,2200,03:02:00,84,5,28,16,19,00:17:30
306,28041002,청라교통,강인여객,왕산차고지,04:40:00,2040,04:35:00,123.8,14,48,17,22,00:19:30
307,28320001,청라교통,강인여객,인천공항T2(8)번출입구(3층),05:00:00,2030,05:10:00,130.5,9,27,33,36,00:34:30
308,28041003,청라교통,북변터미널,인천공항13A,04:50:00,2050,02:46:00,87.51,6,25,38,40,00:39:00
310,28321005,청룡교통,검단사거리역,인천공항13B(3층),04:50:00,2130,03:33:00,105,8,37,25,28,00:26:30
3-2,28310002,성민버스,무지개아파트,가좌동차고지,04:40:00,2230,04:21:00,61,14,56,17,20,00:18:30
32(강화),28032054,강화선진버스,강화터미널,강화터미널,06:20:00,2020,03:40:00,1,1,11,35,160,00:35:00
320,28322002,대인교통,송도공영차고지,송도공영차고지,05:00:00,2200,03:02:00,85.74,8,22,22,24,00:23:00
320,28322002,원진운수,송도공영차고지,송도공영차고지,05:00:00,2200,03:02:00,85.74,8,22,22,24,00:23:00
33,28012001,부성여객,항동7가버스차고지,서창2지구,05:30:00,2250,03:50:00,51,23,104,8,12,00:10:00
33(강화),28032055,강화선진버스,강화터미널,강화터미널,06:10:00,2040,03:40:00,1,1,10,50,205,00:50:00
330,28004005,신흥교통,신흥교통㈜,인천공항T2(8)번출입구(3층),04:50:00,2110,04:04:00,128.3,10,40,23,26,00:24:30
34,28324001,신화여객,동춘동종점,삼산건강공원,04:30:00,2300,03:42:00,50.98,20,105,10,11,00:10:30
35,28008001,도영운수,동춘동종점,청천푸르지오아파트,05:00:00,2230,04:04:00,67.38,15,64,16,17,00:16:30
36,28012002,부성여객,항동7가버스차고지,숭덕여중고입구,05:30:00,2300,03:15:00,41.26,37,199,4,7,00:05:30
36(강화),28302018,강화선진버스,강화터미널,강화터미널,11:15:00,1730,03:40:00,1,1,4,120,135,02:07:30
37,28324002,신화여객,미래타운3.4단지,남동구청역,04:50:00,2220,02:55:00,37.5,10,60,17,18,00:17:30
37(강화),28032059,강화선진버스,강화터미널,강화터미널,06:00:00,2030,03:40:00,1,1,10,50,120,01:25:00
38,28022007,인천스마트,서창휴먼시아11블럭,용현동성원상떼빌아파트,05:30:00,2230,03:43:00,55.13,11,50,17,24,00:20:30
39(강화),28302042,강화선진버스,강화터미널,강화터미널,11:00:00,1900,02:10:00,25.8,1,3,180,240,03:30:00
4,28003001,삼환교통,가좌동차고,동춘동종점,05:00:00,2240,04:25:00,61.4,23,90,10,13,00:11:30
4(강화),28032035,강화선진버스,강화터미널,강화터미널,06:20:00,1825,03:40:00,1,1,4,75,540,01:15:00
40(강화),28032060,강화선진버스,강화터미널,강화터미널,06:10:00,2130,03:40:00,1,1,12,50,120,01:25:00
41(강화),28032061,강화선진버스,강화터미널,강화터미널,08:00:00,2040,03:40:00,1,1,7,45,285,00:45:00
42,28007005,영풍운수,청라BRT차고지입구,구월아시아드6단지,05:00:00,2300,03:35:00,50.7,13,65,15,17,00:16:00
42(강화),28032062,강화선진버스,강화터미널,강화터미널,07:05:00,2000,03:40:00,1,1,3,95,680,01:35:00
42-2,28315015,영풍운수,청라BRT차고지입구,검암역(원당방면),05:00:00,2230,03:40:00,51.4,11,52,19,21,00:20:00
43,28321001,청룡교통,드림파크수영장,부평6동행정복지센터,05:00:00,2230,03:54:00,50.3,21,93,10,12,00:11:00
43(강화),28032063,강화선진버스,강화터미널,강화터미널,07:10:00,1540,03:40:00,1,1,2,510,510,08:30:00
43-1,28321002,청룡교통,검암역(시내방면),갈산역(1번출구),05:00:00,2230,02:32:00,33.4,8,55,17,21,00:19:00
44,28321004,청룡교통,검암역(시내방면),쿠팡물류단지,05:00:00,2200,02:05:00,31.4,5,40,25,26,00:25:30
44(강화),28032064,강화선진버스,강화터미널,강화터미널,06:55:00,1920,03:40:00,1,1,4,210,320,03:30:00
45,28011003,동화운수,월미도,신복사거리,05:00:00,2300,03:19:00,44.8,36,195,5,6,00:05:30
45(강화),28032065,강화선진버스,강화터미널,강화터미널,06:00:00,1930,03:40:00,1,1,9,60,160,01:50:00
46,28004002,신흥교통,신흥교통㈜,청라국제도시역(영종방향),05:20:00,2220,05:37:00,80.1,30,90,10,12,00:11:00
48(강화),28032068,강화선진버스,강화터미널,강화터미널,06:25:00,2025,03:40:00,1,1,11,45,135,01:30:00
49(강화),28032058,강화선진버스,강화터미널,강화터미널,05:40:00,2015,03:40:00,1,1,7,60,235,02:27:30
5,28022011,인천스마트,신명아파트.대우3차아파트,인하대병원,05:50:00,2250,03:45:00,53.2,12,54,18,20,00:19:00
5(강화),28302011,강화선진버스,강화터미널,강화터미널,08:10:00,1840,03:40:00,1,1,10,50,100,01:15:00
50(강화),28032069,강화선진버스,강화터미널,강화터미널,06:10:00,2130,03:40:00,1,1,2,920,920,15:20:00
506,28231010,삼성여객,동일폐차장,서구보훈회관,05:30:00,2255,02:52:00,34.2,8,48,18,25,00:21:30
5-1,28022002,인천스마트,굴다리,주안역환승정류장,05:30:00,2320,01:40:00,18.6,6,64,14,19,00:16:30
51(강화),28032070,강화선진버스,강화터미널,강화터미널,06:15:00,1915,03:40:00,1,1,8,35,65,00:50:00
510,28214004,삼환운수,510번차고지,도화역,05:10:00,2340,01:48:00,23.9,10,104,9,12,00:10:30
511,28222001,성민버스,독배로317번길(삼거리),주안역환승정류장,05:20:00,2320,01:08:00,11.78,15,253,3,5,00:04:00
512,28222002,성민버스,인하대후문,삼성빌라(종점),05:30:00,2300,01:01:00,11.3,2,34,26,35,00:30:30
514-1,28511006,해성운수,구월아시아드선수촌아파트,주안역환승정류장,05:30:00,2420,01:19:00,11.42,9,128,9,9,00:09:00
515,28229002,대인교통,인천지방법원,주안역,05:00:00,2340,01:44:00,19.6,9,96,10,15,00:10:00
515-1,28229005,대인교통,인천지방법원,주안역(고려예식장),05:00:00,2400,00:50:00,8.94,3,60,16,23,00:16:00
516,28210001,신동아교통,현광아파트후문,주안역환승정류장,05:00:00,2400,01:43:00,18.3,7,77,12,17,00:14:30
517,28204001,신흥교통,윤성아파트(인항고교),동인천역,04:50:00,2320,01:45:00,20.3,5,52,17,18,00:17:30
518,28210002,신동아교통,종점(병무청),주안역,05:00:00,2400,01:27:00,13.9,9,117,7,12,00:09:30
519,28204002,신흥교통,윤성아파트(인항고교),동인천역,05:20:00,2345,01:47:00,21,5,51,20,22,00:21:00
52(강화),28032071,강화선진버스,강화터미널,강화터미널,06:10:00,2035,03:40:00,1,1,6,115,210,02:42:30
520,28210003,신동아교통,종점(병무청),종합터미널,05:05:00,2400,01:21:00,12.36,6,84,11,16,00:13:30
521,28219001,성산여객,옥련중학교,동인천,05:05:00,2350,01:22:00,17.1,11,150,6,9,00:07:30
522,28206001,명진교통,남동대교,주안역,05:20:00,2150,02:18:00,30.8,14,100,8,12,00:10:00
